MoneyRaised,AmountPledged,FAQcount,UpdateCount,ofImages,ofVideos,ofDescText,backersMaxRewards,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,countCreator,noOfRewards,pledgeDescLength,pledge_ColemanLiau,RaisedAndPledgedRatio,followers_count,friends_count,public_list_count,tweets_count,likes_count,positivePercentage,negativePercentage,X.positive,New Backers,Returning Backers,Backers,rating
205121.0,45000.0,6.0,41.0,22.0,4.0,1451.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,197.0,17.0,467.0,5.9,4.56,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.232558139499996,312.0,1026.0,3065.0,4091.0,0.0
600874.0,110000.0,1.0,68.0,26.0,1.0,1269.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,555.0,82.0,43.0,4191.0,11.95,5.46,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,32.9974811083,262.0,4442.0,6727.0,11169.0,1.0
32805.0,6000.0,1.0,24.0,24.0,1.0,1395.0,3.0,7.0,1.0,1.0,10.0,1.0,0.0,0.0,91.0,10.0,329.0,7.33,5.47,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,28.0701754386,64.0,23.0,496.0,519.0,1.0
1290439.0,100000.0,6.0,29.0,27.0,1.0,2063.0,3.0,2.0,1.0,2.0,10.0,0.0,0.0,0.0,214.0,14.0,762.0,10.09,12.9,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.6415929204,277.0,1087.0,2428.0,3515.0,0.0
905682.0,50000.0,3.0,50.0,48.0,1.0,1350.0,8777.0,50.0,26.0,1.0,1.0,1.0,0.0,0.0,59.0,2.0,56.0,16.39,18.11,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,31.3249727372,4596.0,963.0,8862.0,9825.0,1.0
9192055.0,20000.0,12.0,21.0,42.0,1.0,675.0,61.0,28.0,2.0,1.0,10.0,1.0,0.0,0.0,210.0,43.0,1568.0,10.44,459.6,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.931231130500002,3569.0,20487.0,24462.0,44949.0,0.0
12903.0,10000.0,0.0,13.0,14.0,3.0,1340.0,4.0,17.0,1.0,1.0,3.0,1.0,1.0,296.0,9.0,8.0,134.0,11.5,1.29,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,41.935483871,13.0,111.0,176.0,287.0,1.0
813803.0,50000.0,12.0,23.0,37.0,3.0,1474.0,2.0,33.0,2.0,4.0,1.0,1.0,0.0,0.0,128.0,17.0,579.0,10.66,16.28,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.072992700700002,206.0,751.0,2240.0,2991.0,0.0
11115.0,10000.0,0.0,10.0,8.0,1.0,947.0,3.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,17.0,9.0,541.0,8.87,1.11,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,46.8085106383,22.0,75.0,123.0,198.0,1.0
781597.0,20000.0,5.0,76.0,60.0,1.0,2602.0,1.0,50.0,26.0,1.0,1.0,1.0,0.0,0.0,124.0,13.0,184.0,10.7,39.08,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,31.4095621229,2030.0,2040.0,3218.0,5258.0,1.0
277399.0,50000.0,11.0,14.0,26.0,1.0,2739.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,33.0,1582.0,11.77,5.55,49382.0,1906.0,1101.0,321.0,16059.0,49382.0,31.7927170868,227.0,1875.0,5378.0,7253.0,1.0
107662.0,10000.0,0.0,15.0,15.0,1.0,772.0,0.0,9.0,2.0,3.0,8.0,1.0,1.0,729.0,1.0,74.0,3926.0,11.02,10.77,1786.0,465.0,12.0,611.0,456.0,1786.0,32.8395061728,133.0,737.0,1412.0,2149.0,1.0
20764.0,7000.0,1.0,8.0,12.0,1.0,826.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,19.0,11.0,870.0,10.21,2.97,3185.0,251.0,7.0,80.0,69.0,3185.0,30.9523809524,13.0,88.0,309.0,397.0,1.0
35798.0,30000.0,0.0,14.0,7.0,1.0,876.0,0.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,14.0,11.0,544.0,11.2,1.19,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,27.027027027,10.0,318.0,367.0,685.0,1.0
212265.0,9800.0,7.0,35.0,8.0,1.0,1337.0,0.0,4.0,4.0,2.0,3.0,1.0,1.0,161.0,349.0,16.0,337.0,10.42,21.66,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.8483290488,240.0,1724.0,2817.0,4541.0,0.0
1604.0,1500.0,7.0,20.0,8.0,0.0,469.0,0.0,144.0,1.0,1.0,5.0,1.0,1.0,256.0,2.0,7.0,89.0,11.16,1.07,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,40.0,2.0,7.0,74.0,81.0,1.0
9192055.0,20000.0,12.0,21.0,42.0,1.0,675.0,61.0,28.0,2.0,1.0,10.0,1.0,0.0,0.0,210.0,43.0,1568.0,10.44,459.6,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.931231130500002,3569.0,20487.0,24462.0,44949.0,0.0
32226.0,28800.0,7.0,37.0,13.0,1.0,796.0,0.0,19.0,4.0,3.0,3.0,1.0,1.0,3993.0,7.0,18.0,890.0,9.04,1.12,15502.0,148.0,635.0,14528.0,8177.0,15502.0,37.5,12.0,90.0,682.0,772.0,1.0
10587.0,10000.0,0.0,9.0,23.0,2.0,965.0,0.0,16.0,1.0,4.0,3.0,1.0,1.0,1065.0,0.0,14.0,566.0,7.4,1.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,0.0,0.0,35.0,41.0,76.0,0.0
72256.0,10000.0,0.0,17.0,64.0,1.0,1494.0,0.0,10.0,3.0,9.0,0.0,1.0,0.0,0.0,68.0,16.0,457.0,2.46,7.23,3728.0,2497.0,80.0,1816.0,6154.0,3728.0,34.375,77.0,73.0,1916.0,1989.0,1.0
