AmountPledged,ofImages,ofVideos,ofDescText,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,noOfRewards,pledgeDescLength,pledge_ColemanLiau,followers_count,friends_count,public_list_count,tweets_count,likes_count,rating
40000.0,19.0,1.0,948.0,6.0,5.0,2.0,10.0,1.0,1.0,1664.0,14.0,473.0,7.75,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
50000.0,8.0,1.0,2498.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,22.0,2301.0,15.09,9454.0,66.0,182.0,4908.0,204.0,1.0
5000.0,1.0,1.0,418.0,3.0,1.0,5.0,10.0,0.0,1.0,1385.0,15.0,191.0,15.08,5.0,10.0,298.5035971223,10.0,5.0,1.0
50000.0,6.0,1.0,1253.0,41.0,3.0,4.0,3.0,1.0,1.0,587.0,1.0,45.0,8.01,1964.0,986.0,64.0,6428.0,1578.0,1.0
100000.0,5.0,1.0,574.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,394.0,11.59,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
100000.0,5.0,1.0,574.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,10.0,394.0,11.59,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
10000.0,5.0,1.0,526.0,6.0,1.0,2.0,10.0,0.0,1.0,255.0,8.0,773.0,8.59,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
100000.0,37.0,1.0,1678.0,34.0,5.0,1.0,3.0,1.0,1.0,456.0,10.0,220.0,5.41,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
10000.0,3.0,1.0,1001.0,2.0,1.0,3.0,10.0,0.0,1.0,989.0,5.0,159.0,10.37,473.0,211.0,18.0,181.0,109.0,1.0
100000.0,5.0,1.0,574.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,10.0,394.0,11.59,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
30000.0,13.0,1.0,1572.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,18.0,778.0,10.49,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
