Id,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
212,Sports Outdoors,48,4,2443,3.8
81,Electronics,11,9,3156,4
18,Home Kitchen,34.95,6,3025,3.9
191,Sports Outdoors,9.95,5,2335,5
17,Books,9.95,5,2527,3.8
72,Digital Music,9.49,5,2527,4.8
209,Toys Games,39.95,9,3322,4
37,Magazine Subscriptions,39.95,1,3322,4
150,Movies TV,39.95,1,345,4.8
126,Cell Phones Accessories,38.48,7,2105,2.8
171,Cell Phones Accessories,9.95,7,106,4.4
59,Electronics,149.02,7,1420,4.3
193,Amazon Video,3.99,7,1420,4.3
276,Sports Outdoors,74.99,7,14918,3.7
149,Electronics,295,9,6129,4.6
39,Home Kitchen,167.25,7,4422,4.1
314,Sports Outdoors,480,4,4563,5
228,Books,480,4,0,4.2
106,Digital Music,0.99,4,0,4.6
91,Home Kitchen,39.99,4,3702,4.1
331,Toys Games,39.99,7,5629,3
306,Home Kitchen,12.55,8,4592,2.3
363,Cell Phones Accessories,129,7,2220,3.3
369,Toys Games,65,3,3526,5
297,Grocery Gourmet Food,77.47,2,635,5
214,Toys Games,49.95,9,2419,5
12,Amazon Launchpad,15.99,4,792,4.1
232,Health Household,29.15,6,2743,4.1
152,Office Products,29.15,7,6429,4.1
264,Movies TV,29.15,1,647,3.9
289,Grocery Gourmet Food,12.52,6,5069,5
121,Clothing Shoes Jewelry,159,9,4040,3.2
246,Cell Phones Accessories,39,7,3840,4.1
179,Toys Games,14.99,7,2342,4.4
211,Industrial Scientific,89.99,7,2778,3.9
43,Musical Instruments,98.57,9,4672,3.9
10,Grocery Gourmet Food,15.99,4,3017,4.1
84,Pet Supplies,32.66,7,4166,3.4
262,Electronics,64.6,9,3114,3.8
322,Electronics,39.99,7,1155,3.8
89,Digital Music,3.99,7,1155,4.5
160,Books,3.99,7,3053,4.7
255,Amazon Launchpad,41.2,3,351,5
148,Home Kitchen,459.99,2,1649,3.6
266,Home Kitchen,18.99,8,3618,4.2
31,Clothing Shoes Jewelry,23.95,9,4087,4.5
52,Cell Phones Accessories,149.99,7,4011,4.1
26,Handmade,149.99,5,723,4.3
230,Home Kitchen,14.99,7,1103,3.4
239,Electronics,14.99,5,3477,4.1
136,Electronics,399.99,9,3643,3.6
336,Home Kitchen,8.62,1,1188,4.8
242,Digital Music,8.99,1,1188,4.8
83,Magazine Subscriptions,8.99,1,1188,4
291,Sports Outdoors,199,9,4007,2.9
109,Grocery Gourmet Food,13.48,6,49,4.1
