Id,NumOfBackers,MoneyRaised,AmountPledged,FAQcount,UpdateCount,CommentsCount,ProjectCAtegory,ProjectLocation,ofImages,ofVideos,ofDescText,backersLeastRewards,backersMaxRewards,backedProjects,createdProjects,backerLocation,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,countCreator,countSuperBacker,commentsText,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
131,1012,57791,5000,5,17,67,Footwear,NY,15,1,893,43,4,15,2,NY,1,3,1,0,0,32,13,72,Health Household,39.99,7,2733,3.6
132,4533,189066,11200,1,28,202,Small Batch,Canada,28,1,1647,100,187,6,1,Canada,4,1,1,1,741,36,27,202,Home Kitchen,23.88,5,2492,4.7
133,254,9183,7000,0,42,8,Nonfiction,NY,7,1,1747,14,0,284,2,NY,3,3,1,1,1397,0,2,8,Books,129,7,575,5
134,1631,106935,100000,0,12,54,Film & Video,NY,10,2,837,83,2,1,1,NY,2,8,1,0,0,0,5,54,Amazon Video,4.99,9,4060,3.4
135,2316,147444,100000,0,25,210,Design,CA,5,1,574,93,3,29,1,CA,1,5,0,0,0,44,18,210,Home Kitchen,35.36,5,3702,4.1
136,1973,759656,200000,13,17,484,Gadgets,CA,30,1,1601,141,1,3,1,CA,1,10,1,0,0,101,39,493,Electronics,399.99,9,3643,3.6
137,666,41209,20000,1,17,73,Product Design,AU,9,1,567,124,4,49,2,AU,3,3,0,1,654,20,4,73,Cell Phones Accessories,69.95,9,3825,4.6
138,530,46754,20000,2,24,40,Footwear,MD,18,1,1069,25,16,11,1,MD,5,1,1,0,0,16,1,41,Sports Outdoors,48,5,5795,5
139,338,39288,15000,3,29,108,Design,FL,12,2,1418,50,9,42,3,FL,3,3,1,0,0,45,20,108,Sports Outdoors,52.31,4,3637,4.4
140,566,33923,15000,7,15,166,Product Design,Canada,8,1,1044,5,11,5,3,MA,5,10,1,0,0,63,24,174,Home Kitchen,32.95,8,3582,4.6
141,31,11185,11000,0,0,0,Small Batch,OR,6,1,1529,1,1,25,3,OR,1,3,1,0,0,0,0,0,Grocery Gourmet Food,25,3,5312,3
142,346,12665,3000,0,25,68,Graphic Novels,CA,0,1,423,113,1,49,7,ID,3,3,1,1,344,14,0,69,Books,39.89,7,777,4.7
143,82,15267,15000,5,20,50,Product Design,CO,13,1,1224,3,1,7,1,CO,2,10,0,1,178,18,4,50,Sports Outdoors,23.2,9,6298,4
144,3404,103347,6000,11,22,585,Tabletop Games,UT,23,1,2682,41,0,17,2,UT,4,3,1,1,2241,160,112,585,Toys Games,19.99,3,3994,4.6
145,723,56016,38000,0,16,41,Documentary,LA,1,1,922,50,0,26,1,LA,1,5,0,0,0,1,0,41,Amazon Video,3.99,8,3344,4
146,723,56016,38000,0,16,41,Documentary,LA,1,1,922,50,0,26,1,LA,1,8,0,0,0,1,0,41,Amazon Video,3.99,7,3680,4.3
147,885,80943,10000,3,9,17,People,NY,6,1,809,107,7,9,3,NY,4,0,1,1,228,0,3,17,Books,24.99,5,2029,4.6
148,507,142413,43000,3,22,86,Product Design,CA,17,1,1670,42,2,23,1,CA,3,10,0,1,2876,30,3,86,Home Kitchen,459.99,2,1649,3.6
149,1375,280033,50000,6,35,274,Interactive Design,CA,29,1,2661,47,1,19,1,CA,3,0,1,1,1349,45,25,274,Electronics,295,9,6129,4.6
